CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
445059692,02/29/2016,14:10:00,02/29/2016,14:20:00,02/29/2016,126,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,INSIDE,RESIDENCE - APT. HOUSE,,,995294,176595,40.651390471,-73.960200798,"(40.651390471, -73.960200798)"
476967279,02/29/2016,14:05:00,02/29/2016,14:11:00,02/29/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,23,INSIDE,RESIDENCE - APT. HOUSE,,,999991,228957,40.795104344,-73.943151175,"(40.795104344, -73.943151175)"
616508116,02/29/2016,14:00:00,02/29/2016,14:17:00,02/29/2016,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,68,,STREET,UNNAMED PARK ON 92ND STREET,,975684,162655,40.61313086,-74.030854114,"(40.61313086, -74.030854114)"
798449176,02/29/2016,14:00:00,02/29/2016,14:08:00,02/29/2016,236,DANGEROUS WEAPONS,782,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,103,,STREET,,,1039726,195270,40.702482133,-73.799922252,"(40.702482133, -73.799922252)"
357735514,02/29/2016,14:00:00,02/29/2016,14:05:00,02/29/2016,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,44,INSIDE,PUBLIC SCHOOL,,,,,,,
691178007,02/29/2016,14:00:00,02/29/2016,14:30:00,02/29/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,71,FRONT OF,STREET,,,997109,181920,40.666003978,-73.953649703,"(40.666003978, -73.953649703)"
942569294,02/29/2016,14:00:00,02/29/2016,14:50:00,02/29/2016,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,101,FRONT OF,STREET,,,1044122,155673,40.593768616,-73.7844192,"(40.593768616, -73.7844192)"
607111344,02/29/2016,14:00:00,02/29/2016,14:10:00,02/29/2016,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,114,INSIDE,DEPARTMENT STORE,,,1008350,214778,40.756167883,-73.913012636,"(40.756167883, -73.913012636)"
995795310,02/29/2016,14:00:00,02/29/2016,14:10:00,02/29/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,101,INSIDE,RESIDENCE - APT. HOUSE,,,1053937,157131,40.597698782,-73.749063286,"(40.597698782, -73.749063286)"
601448607,02/29/2016,14:00:00,,,02/29/2016,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,47,REAR OF,RESIDENCE-HOUSE,,,1023077,264473,40.892513966,-73.859568127,"(40.892513966, -73.859568127)"
365147127,02/29/2016,14:00:00,02/29/2016,20:15:00,02/29/2016,126,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,46,INSIDE,RESIDENCE - APT. HOUSE,,,1011487,252148,40.858729042,-73.901538048,"(40.858729042, -73.901538048)"
425187139,02/29/2016,14:00:00,02/29/2016,14:30:00,02/29/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,42,FRONT OF,STREET,,,1014850,242038,40.83096906,-73.889426744,"(40.83096906, -73.889426744)"
